KEGGID	HMDBID
cpd:C00977	hmdb:HMDB13318
cpd:C00978	hmdb:HMDB01238
cpd:C00979	hmdb:HMDB03011
cpd:C00984	hmdb:HMDB00143
cpd:C00986	hmdb:HMDB00002
cpd:C00988	hmdb:HMDB00816
cpd:C00989	hmdb:HMDB00710
cpd:C00989	hmdb:HMDB15507
cpd:C00990	hmdb:HMDB12176
cpd:C00992	hmdb:HMDB03458
cpd:C00993	hmdb:HMDB03459
cpd:C01004	hmdb:HMDB00875
cpd:C01005	hmdb:HMDB00272
cpd:C01005	hmdb:HMDB01721
cpd:C01007	hmdb:HMDB01557
cpd:C01008	hmdb:HMDB12295
cpd:C01011	hmdb:HMDB06345
cpd:C01013	hmdb:HMDB00700
cpd:C01015	hmdb:HMDB06055
cpd:C01017	hmdb:HMDB00472
cpd:C01018	hmdb:HMDB29196
cpd:C01019	hmdb:HMDB00174
cpd:C01020	hmdb:HMDB02658
cpd:C01024	hmdb:HMDB01137
cpd:C01026	hmdb:HMDB00092
cpd:C01029	hmdb:HMDB02189
cpd:C01031	hmdb:HMDB01550
cpd:C01033	hmdb:HMDB01041
cpd:C01035	hmdb:HMDB03464
cpd:C01036	hmdb:HMDB02052
cpd:C01040	hmdb:HMDB03466
cpd:C01042	hmdb:HMDB00812
cpd:C01043	hmdb:HMDB12265
cpd:C01044	hmdb:HMDB60495
cpd:C01045	hmdb:HMDB03470
cpd:C01047	hmdb:HMDB34365
cpd:C01050	hmdb:HMDB11720
cpd:C01051	hmdb:HMDB01086
cpd:C01054	hmdb:HMDB01188
cpd:C01054	hmdb:HMDB59621
cpd:C01060	hmdb:HMDB03474
cpd:C01061	hmdb:HMDB01268
cpd:C01062	hmdb:HMDB11731
cpd:C01075	hmdb:HMDB01481
cpd:C01077	hmdb:HMDB29423
cpd:C01079	hmdb:HMDB01097
cpd:C01081	hmdb:HMDB02666
cpd:C01083	hmdb:HMDB00975
cpd:C01087	hmdb:HMDB00606
cpd:C01089	hmdb:HMDB00011
cpd:C01089	hmdb:HMDB00357
cpd:C01092	hmdb:HMDB37790
cpd:C01094	hmdb:HMDB01076
cpd:C01096	hmdb:HMDB05831
cpd:C01097	hmdb:HMDB06873
cpd:C01102	hmdb:HMDB03484
cpd:C01103	hmdb:HMDB00218
cpd:C01104	hmdb:HMDB00925
cpd:C01107	hmdb:HMDB01343
cpd:C01108	hmdb:HMDB13674
cpd:C01110	hmdb:HMDB06272
cpd:C01112	hmdb:HMDB11734
cpd:C01119	hmdb:HMDB59664
cpd:C01120	hmdb:HMDB01383
cpd:C01124	hmdb:HMDB00319
cpd:C01126	hmdb:HMDB04305
cpd:C01127	hmdb:HMDB02070
cpd:C01134	hmdb:HMDB01416
cpd:C01136	hmdb:HMDB01526
cpd:C01137	hmdb:HMDB00988
cpd:C01142	hmdb:HMDB12114
cpd:C01143	hmdb:HMDB01090
cpd:C01146	hmdb:HMDB06938
cpd:C01149	hmdb:HMDB01345
cpd:C01151	hmdb:HMDB11688
cpd:C01152	hmdb:HMDB00001
cpd:C01152	hmdb:HMDB00479
cpd:C01157	hmdb:HMDB00725
cpd:C01158	hmdb:HMDB38728
cpd:C01159	hmdb:HMDB01294
cpd:C01161	hmdb:HMDB01336
cpd:C01164	hmdb:HMDB00032
cpd:C01165	hmdb:HMDB02104
cpd:C01168	hmdb:HMDB01271
cpd:C01169	hmdb:HMDB01177
cpd:C01170	hmdb:HMDB13112
cpd:C01172	hmdb:HMDB03498
cpd:C01176	hmdb:HMDB00374
cpd:C01177	hmdb:HMDB02985
cpd:C01179	hmdb:HMDB00707
cpd:C01180	hmdb:HMDB01553
cpd:C01181	hmdb:HMDB01161
cpd:C01183	hmdb:HMDB01466
cpd:C01185	hmdb:HMDB01132
cpd:C01185	hmdb:HMDB59646
cpd:C01186	hmdb:HMDB12115
cpd:C01189	hmdb:HMDB01170
