Organisms	Organisms.1
ecf	Escherichia coli O157:H7 EC4115 (EHEC)
etw	Escherichia coli O157:H7 TW14359 (EHEC)
elx	Escherichia coli O157:H7 Xuzhou21 (EHEC)
eoi	Escherichia coli O111:H- 11128 (EHEC)
eoj	Escherichia coli O26:H11 11368 (EHEC)
eoh	Escherichia coli O103:H2 12009 (EHEC)
ecoo	Escherichia coli O145:H28 RM13514 (EHEC)
ecoh	Escherichia coli O145:H28 RM13516 (EHEC)
esl	Escherichia coli O104:H4 2011C-3493 (EAEC)
eso	Escherichia coli O104:H4 2009EL-2071 (EAEC)
esm	Escherichia coli O104:H4 2009EL-2050 (EAEC)
eck	Escherichia coli 55989 (EAEC)
ecg	Escherichia coli O127:H6 E2348/69 (EPEC)
eok	Escherichia coli O55:H7 CB9615 (EPEC)
elr	Escherichia coli O55:H7 RM12579 (EPEC)
elh	Escherichia coli O78:H11:K80 H10407 (ETEC)
ecw	Escherichia coli O139:H28 E24377A (ETEC)
eun	"Escherichia coli UMNK88 (ETEC, porcine)"
ecp	Escherichia coli O6:K15:H31 536 (UPEC)
ena	Escherichia coli NA114 (UPEC)
ecos	Escherichia coli O25b:K100:H4-ST131 EC958 (UPEC)
ecv	Escherichia coli APEC O1 (APEC)
ecoa	Escherichia coli APEC O78 (APEC)
ecx	Escherichia coli O9 HS (commensal)
ecm	Escherichia coli SMS-3-5 (environmental)
ecy	Escherichia coli O152:H28 SE11 (commensal)
ecr	Escherichia coli O8 IAI1 (commensal)
ecq	Escherichia coli O81 ED1a (commensal)
eum	Escherichia coli O17:K52:H18 UMN026 (ExPEC)
ect	Escherichia coli O7:K1 IAI39 (ExPEC)
eoc	Escherichia coli O7:K1 CE10
ebr	Escherichia coli B REL606
ebl	Escherichia coli BL21(DE3)
ebe	Escherichia coli BL21(DE3)
ebd	Escherichia coli BL21-Gold(DE3)pLysS AG
eci	Escherichia coli O18:K1:H7 UTI89 (UPEC)
eih	Escherichia coli O18:K1:H7 IHE3034 (ExPEC)
ecz	Escherichia coli O45:K1:H7 S88 (ExPEC)
ecc	Escherichia coli O6:K2:H1 CFT073 (UPEC)
elo	Escherichia coli O44:H18 042 (EAEC)
eln	Escherichia coli O83:H1 NRG 857C (AIEC)
ese	Escherichia coli O150:H5 SE15 (commensal)
ecl	Escherichia coli ATCC 8739
eko	Escherichia coli KO11FL
ekf	Escherichia coli KO11FL
eab	Escherichia coli ABU 83972
edh	Escherichia coli DH1
edj	Escherichia coli DH1
elu	Escherichia coli UM146
elw	Escherichia coli W
ell	Escherichia coli W
elc	Escherichia coli clone D i14
eld	Escherichia coli clone D i2
elp	Escherichia coli P12b
elf	Escherichia coli LF82
ecol	Escherichia coli LY180
ecoi	Escherichia coli PMV-1
ecoj	Escherichia coli JJ1886
efe	Escherichia fergusonii
eal	Escherichia albertii
ema	Escherichia marmotae
esz	Escherichia sp. E4742
sty	Salmonella enterica subsp. enterica serovar Typhi CT18
stt	Salmonella enterica subsp. enterica serovar Typhi Ty2
sex	Salmonella enterica subsp. enterica serovar Typhi P-stx-12
sent	Salmonella enterica subsp. enterica serovar Typhi Ty21a
stm	Salmonella enterica subsp. enterica serovar Typhimurium LT2
seo	Salmonella enterica subsp. enterica serovar Typhimurium 14028S
sev	Salmonella enterica subsp. enterica serovar Typhimurium D23580
sey	Salmonella enterica subsp. enterica serovar Typhimurium SL1344
sem	Salmonella enterica subsp. enterica serovar Typhimurium T000240
sej	Salmonella enterica subsp. enterica serovar Typhimurium UK-1
seb	Salmonella enterica subsp. enterica serovar Typhimurium ST4/74
sef	Salmonella enterica subsp. enterica serovar Typhimurium 798
setu	Salmonella enterica subsp. enterica serovar Typhimurium U288
setc	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- CFSAN001921
senr	Salmonella enterica subsp. enterica serovar Typhimurium DT2
send	Salmonella enterica subsp. enterica serovar Typhimurium DT104
seni	Salmonella enterica subsp. enterica serovar Typhimurium 138736
seen	"Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. 08-1736"
spt	Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
sek	Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
spq	Salmonella enterica subsp. enterica serovar Paratyphi B
sei	Salmonella enterica subsp. enterica serovar Paratyphi C
sec	Salmonella enterica subsp. enterica serovar Choleraesuis
seh	Salmonella enterica subsp. enterica serovar Heidelberg SL476
shb	Salmonella enterica subsp. enterica serovar Heidelberg B182
